"""","電話加入総数","一般加入　 電話","一般加入電話_うち住宅用","ビル電話","ISDN","公衆電話総数","街頭公衆電話_アナログ公衆","街頭公衆電話_ﾃﾞｼﾞﾀﾙ公衆","街頭公衆電話_ICｶｰﾄﾞ公衆"
"昭和50年度(1975年度)","310925.0","310925.0","179903.0","…","…","6314.0","…","0.0","…"
"昭和55年度(1980年度)","365300.0","365300.0","234500.0","…","…","8100.0","…","0.0","…"
"昭和60年度(1985年度)","400772.0","400772.0","271488.0","…","…","8264.0","382.0","0.0","…"
"平成 2年度(1990年度)","458283.0","458283.0","312578.0","…","…","7087.0","5493.0","0.0","…"
"平成 7年度(1995年度)","508625.0","508625.0","355266.0","…","…","6468.0","6199.0","269.0","…"
"","","","","","","","","",""
"平成10年度(1998年度)","496075.0","496067.0","357105.0","8.0","25516.0","5927.0","5386.0","541.0","…"
"平成11年度(1999年度)","472493.0","471901.0","347484.0","592.0","47566.0","5784.0","5179.0","605.0","…"
"平成12年度(2000年度)","446862.0","446849.0","334843.0","12.0","72557.0","5560.0","4809.0","533.0","218.0"
"","","","","","","","","",""
"平成13年度(2001年度)","430527.0","430514.0","326770.0","13.0","77927.0","5195.0","4363.0","529.0","303.0"
"平成14年度(2002年度)","419164.0","419151.0","321879.0","13.0","68385.0","4559.0","3700.0","510.0","349.0"
"平成15年度(2003年度)","419414.0","419401.0","325293.0","13.0","60348.0","3836.0","2984.0","516.0","336.0"
"平成16年度(2004年度)","411420.0","411408.0","320716.0","12.0","54115.0","3367.0","2566.0","513.0","288.0"
"平成17年度(2005年度)","389339.0","389327.0","303796.0","12.0","49096.0","3097.0","2486.0","611.0","0.0"
"","","","","","","","","",""
"平成18年度(2006年度)","361503.0","361496.0","281227.0","7.0","44145.0","2974.0","2370.0","604.0","0.0"
"平成19年度(2007年度)","329584.0","329577.0","256530.0","7.0","39147.0","2702.0","2138.0","564.0","0.0"
"平成20年度(2008年度)","299670.0","299663.0","233582.0","7.0","34055.0","2453.0","1950.0","503.0","0.0"
"平成21年度(2009年度)","275162.0","275161.0","214794.0","1.0","30346.0","2225.0","1756.0","469.0","0.0"
"平成22年度(2010年度)","250001.0","250000.0","193853.0","1.0","27292.0","2022.0","1571.0","451.0","0.0"
"","","","","","","","","",""
"平成23年度(2011年度)","227041.0","227040.0","175810.0","1.0","24592.0","1927.0","1478.0","449.0","0.0"
"平成24年度(2012年度)","209098.0","209097.0","163111.0","1.0","22158.0","1820.0","1381.0","439.0","0.0"
"平成25年度(2013年度)","192695.0","192694.0","150766.0","1.0","20398.0","1712.0","1287.0","425.0","0.0"
"平成26年度(2014年度)","180933.0","180933.0","142311.0","0.0","18853.0","1671.0","1250.0","421.0","0.0"
"","","","","","","","","",""
" 和歌山市","56368.0","56368.0","42386.0","0.0","7372.0","549.0","343.0","206.0","0.0"
" 海 南 市","9791.0","9791.0","8100.0","0.0","946.0","80.0","65.0","15.0","0.0"
" 橋 本 市","10460.0","10460.0","8614.0","0.0","940.0","99.0","78.0","21.0","0.0"
" 有 田 市","5073.0","5073.0","4187.0","0.0","336.0","45.0","41.0","4.0","0.0"
" 御 坊 市","5082.0","5082.0","3962.0","0.0","519.0","56.0","44.0","12.0","0.0"
" 田 辺 市","19324.0","19324.0","15273.0","0.0","1755.0","159.0","126.0","33.0","0.0"
" 新 宮 市","8637.0","8637.0","6595.0","0.0","880.0","73.0","51.0","22.0","0.0"
" 紀の川市","10324.0","10324.0","8666.0","0.0","962.0","78.0","66.0","12.0","0.0"
" 岩 出 市","5089.0","5089.0","4042.0","0.0","589.0","42.0","34.0","8.0","0.0"
"","","","","","","","","",""
" 紀美野町","2962.0","2962.0","2552.0","0.0","233.0","25.0","25.0","0.0","0.0"
"","","","","","","","","",""
"   かつらぎ町","3684.0","3684.0","3024.0","0.0","401.0","35.0","30.0","5.0","0.0"
" 九度山町","1056.0","1056.0","907.0","0.0","74.0","18.0","18.0","0.0","0.0"
" 高 野 町","1189.0","1189.0","831.0","0.0","142.0","24.0","18.0","6.0","0.0"
"","","","","","","","","",""
" 湯 浅 町","2663.0","2663.0","2106.0","0.0","164.0","31.0","25.0","6.0","0.0"
" 広 川 町","1378.0","1378.0","1128.0","0.0","121.0","12.0","9.0","3.0","0.0"
" 有田川町","5490.0","5490.0","4370.0","0.0","529.0","49.0","46.0","3.0","0.0"
"","","","","","","","","",""
